???;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
upgrade_cow_volantis_bridge;Volantis Bridge;;;;;;;;;;;;;;
upgrade_cow_volantis_bridge_desc;Built by the Valyrians, the Long Bridge across the Rhoyne is a structural masterpiece. It connects Old Volantis with the western part of the city;;;;;;;;;;;;;;
upgrade_cow_district_black_walls;The Black Wall;;;;;;;;;;;;;;
upgrade_cow_district_casterly_rock;Casterly Rock;;;;;;;;;;;;;;
upgrade_cow_dragonpit;Dragonpit;;;;;;;;;;;;;;
upgrade_cow_dragonpit_desc;The Dragonpit is a huge, domed building. The Valyrians would keep their dragons within the building. Thirty knights can ride abreast into its entrance. No pit dragon have ever reached the size of the dragons who were raised before the construction of the building. When living dragons nests beneath the dome, light shine through the windows at night.;;;;;;;;;;;;;;
upgrade_cow_golden_gallery;The Golden Gallery;;;;;;;;;;;;;;
upgrade_cow_bells_norvos;The Three Bells of Norvos;;;;;;;;;;;;;;
upgrade_cow_bells_norvos_desc;The Three Bells of Norvos;;;;;;;;;;;;;;
upgrade_cow_district_black_walls_desc;The Black Wall is a great oval of fused black stone built two hundred feet high in the eastern half of [FROMFROM.Location.GetName], Built by the Valyrian Freehold, it is considered the heart of [FROMFROM.Location.GetName] and only scions of the Old Blood able to trace their ancestry to Valyria are allowed to dwell there. The Black Wall is so thick that six four-horse chariots can race around its top abreast, which is done annually to celebrate the founding of [FROMFROM.Location.GetName]. No outlander, freeman, or foreigner is allowed inside the Black Wall unless they are invited by the Old Blood.;;;;;;;;;;;;;;
upgrade_cow_district_casterly_rock_desc;Casterly Rock, the fortress is carved out of a great stone hill and its natural defences are further enhanced with walls and other structures. It is tunnelled through with halls and chambers, with a huge keep at its peak. After Harrenhal, it is the second-largest castle in the realm with some of the strongest defences in the world.;;;;;;;;;;;;;;
upgrade_cow_golden_gallery_desc;Casterly Rock is home to many great treasures. The greatest of these are to be found in the immense caverns known as the Golden Gallery and the Hall of Heroes. The Gallery is famed throughout the Seven Kingdoms for the magnificence of the treasures and gilded ornaments that line its walls. The Hall of Heroes is where the Lannisters and their relatives are buried and the costly armor worn by a hundred Lannister knights, lords, and kings stand eternal guard. The magnificence of these rooms is unmatched in Westeros and reinforces the power and prestige of those that rule Caterly Rock.;;;;;;;;;;;;;;
upgrade_cow_district_triple_walls_qarth;The Triple Walls of Qarth;;;;;;;;;;;;;;
upgrade_cow_district_triple_walls_qarth_desc;The Triple Walls of Qarth are three thick walls that surround the ancient port city of Qarth. The walls are of thirty, forty, and fifty feet in height, respectively and are engraved with portraits of animals, war, and lovemaking. The wallshave not been used for defence in centuries, but they still stand, representing the power of the city. The Triple Walls ares one of the nine wonders made by man reported in the book, Wonders Made by Man, by Lomas Longstrider.;;;;;;;;;;;;;;
wonder_city_of_wonders_valyria;[FromFromFrom.GetName];;;;;;;;;;;;;;x
wonder_city_of_wonders_valyria_desc;Valyria was the capital of the greatest civilization ever seen, Valyria's power was based on the taming and use of dragons in warfare, which they discovered in the chain of volcanoes known as the Fourteen Flames which were located around their homeland. Using dragons, Valyria destroyed the armies of opposing nations and conquered a large amount of territory in Essos. Its empire, the Valyrian Freehold, extended through much of the modern Free Cities and even onto the island of Dragonstone in the Narrow Sea. The Valyrians were more than dragonlords. They practiced blood magic and other dark arts, delving deep into the earth for secrets and twisting the flesh of beasts and men to fashion monstrous and unnatural chimeras. It is believed that for these sins the gods in their wroth struck Valyria down with a cataclysmic event known as the Doom of Valyria.;;;;;;;;;;;;;;x
wonder_city_of_wonders_valyria_construction_desc;Valyria was the capital of the greatest civilization ever seen, the heart of an empire that ruled half the known world.  Valyria's power was based on the taming and use of dragons in warfare, which they discovered in the chain of volcanoes known as the Fourteen Flames which were located around their homeland. Using dragons, Valyria destroyed the armies of opposing nations and conquered a large amount of territory in Essos. Its empire, the Valyrian Freehold, extended through much of the modern Free Cities and even onto the island of Dragonstone in the Narrow Sea. The Valyrians were more than dragonlords. They practiced blood magic and other dark arts, delving deep into the earth for secrets and twisting the flesh of beasts and men to fashion monstrous and unnatural chimeras. It is believed that for these sins the gods in their wroth struck Valyria down with a cataclysmic event known as the Doom of Valyria.;;;;;;;;;;;;;;x
wonder_city_of_wonders_lannisport;Lannisport;;;;;;;;;;;;;;
wonder_city_of_wonders_lannisport_desc;Lannisport is located less than a mile south of Casterly Rock. The city is renowned for its goldwork and goldsmiths and produces a spiced honey wine. Like King's Landing, Lannisport has higher quality brothels and merchants from Lannisport often trade with their counterparts in the Free Cities.;;;;;;;;;;;;;;
upgrade_cow_district_greatpyramid_meereen;Great Pyramid of Meereen;;;;;;;;;;;;;;
