#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
#### City of Wonders ####;;;;;;;;;;;;;;;
wonder_city_of_wonders;City of Wonders;City of Wonders;City of Wonders;;City of Wonders;;;;;;;;;;x
wonder_city_of_wonders_desc;The start phase of our projected city has finally begun. The bickering architects and engineers have drafted plans that with the current estimate will take over a century to complete. By all accounts the city shall not be completed in a single generation, but in multiple.;;;;;;;;;;;;;;x
wonder_city_of_wonders_construction_desc;By carefully investing in our capital, we can turn it into a magnificent Megalopolis that will outrival any other cities in the world. It shall become a City of Wonders.;;;;;;;;;;;;;;x
#### City of Wonders DYNAMIC NAMES ####;;;;;;;;;;;;;;;
String_location_cow;[target_province.GetName];;;;;;;;;;;;;;x # Stage 1 - Wonder
String_location_cow2;Great City of [target_province.GetName];;;;;;;;;;;;;;x # Stage 3 - Wonder
String_location_cow3;Metropolis of [target_province.GetName];;;;;;;;;;;;;;x # Stage 6 - Wonder
String_location_cow4;Megalopolis of [target_province.GetName];;;;;;;;;;;;;;x # Stage 9 - Wonder
#### City of Wonders DESC ####;;;;;;;;;;;;;;;
wonder_city_of_wonders1_desc;[target_province.GetName] has been expanded into a proper city, but there still much to do. Many older buildings have been demolished to make room for many of the new districts that shall contain many of this city’s future wonders. Still, there is much to do, as you cannot even visit a single district without seeing it marred by construction work.;;;;;;;;;;;;;;x # Stage 1
wonder_city_of_wonders2_desc;After much time and effort, [target_province.GetName] has turned into something everyone can agree is a Great City. Monuments and decorations have started to mark [target_province.GetName] as something extraordinary. Still, there is much to do, and the city requires quite a few more wonders before it can truly be called a City of Wonders.;;;;;;;;;;;;;;x # Stage 3
wonder_city_of_wonders3_desc;[target_province.GetName] has undeniably become a Metropolis, that is quite possibly not just the center of the realm, but also a epicenter of the region it inhabits. It has by most margins become the most important post of every major trade route in the known world. Many districts have been built, and quite a few great works and monuments have raised. While the city is one of the greatest in the known world, there is still much work and renovations left before the city can reach it's apex.;;;;;;;;;;;;;;x # Stage 6
wonder_city_of_wonders4_desc;[target_province.GetName] has incontestably grown into a fully-fledged Megalopolis, quite conceivably the greatest city ever built. Pedestrians can walk miles without seeing an apparent end to the city. In any district of the city you can find radiant wonders and great works never before seen beyond the city walls. It may have taken a few generations to accomplish this, and cost some blood, sweat, and wealth beyond imagining – but any who walks the beautifully paved streets of [target_province.GetName] agrees that any sacrifice would be worth it for such a magnificent city. It truly has become a City of Wonders!;;;;;;;;;;;;;;x # Stage 9
#### Cities of Wonders AGOT ####;;;;;;;;;;;;;;;
wonder_city_of_wonders_agot;[FromFromFrom.GetName];;;;;;;;;;;;;;x
wonder_city_of_wonders_agot_desc;The start phase of our projected city has finally begun. The bickering architects and engineers have drafted plans that with the current estimate will take over a century to complete. By all accounts the city shall not be completed in a single generation, but in multiple.;;;;;;;;;;;;;;x
wonder_city_of_wonders_agot_construction_desc;By carefully investing in our capital, we can turn it into a magnificent Megalopolis that will outrival any other cities in the world. It shall become a City of Wonders.;;;;;;;;;;;;;;x
#### City of Wonders AGOT HISTORY FILE DESC ####  Only used for province history files! ##;;;;;;;;;;;;;;;
wonder_city_of_wonders1_agot_desc;This city has been expanded into a proper city, but there still much to do. Many older buildings have been demolished to make room for many of the new districts that shall contain many of this city’s future wonders. Still, there is much to do, as you cannot even visit a single district without seeing it marred by construction work.;;;;;;;;;;;;;;x # Stage 1
wonder_city_of_wonders2_agot_desc;After much time and effort, the city has turned into something everyone can agree is a Great City. Monuments and decorations have started to mark the city as something extraordinary. Still, there is much to do, and the city requires quite a few more wonders before it can truly be called a City of Wonders.;;;;;;;;;;;;;;x # Stage 3
wonder_city_of_wonders3_agot_desc;This city has undeniably become a Metropolis, that is quite possibly not just the center of the realm, but also a epicenter of the region it inhabits. It has by most margins become the most important post of every major trade route in the known world. Many districts have been built, and quite a few great works and monuments have raised. While the city is one of the greatest in the known world, there is still much work and renovations left before the city can reach it's apex.;;;;;;;;;;;;;;x # Stage 6
wonder_city_of_wonders4_agot_desc;This city has incontestably grown into a fully-fledged Megalopolis, quite conceivably the greatest city ever built. Pedestrians can walk miles without seeing an apparent end to the city. In any district of the city you can find radiant wonders and great works never before seen beyond the city walls. It may have taken a few generations to accomplish this, and cost some blood, sweat, and wealth beyond imagining – but any who walks the beautifully paved streets of the city agrees that any sacrifice would be worth it for such a magnificent city. It truly has become a City of Wonders!;;;;;;;;;;;;;;x # Stage 9
#### Cities of Wonders UNIQUE-AGOT ####;;;;;;;;;;;;;;;
wonder_city_of_wonders_PLACEHOLDER;[FromFromFrom.GetName];;;;;;;;;;;;;;x
wonder_city_of_wonders_PLACEHOLDER_desc;PLACEHOLDER;;;;;;;;;;;;;;x
wonder_city_of_wonders_PLACEHOLDER_construction_desc;PLACEHOLDER;;;;;;;;;;;;;;x
### VOLANTIS ## OLD VOLANTIS ###;;;;;;;;;;;;;;;
wonder_city_of_wonders_volantis;[FromFromFrom.GetName];;;;;;;;;;;;;;x
wonder_city_of_wonders_volantis_desc;The last bastion of the Freehold, the grand city of Volantis is the largest and most powerful of the Free Cities. Sprawling across the mouth of the Rhoyne, Old Volantis is a city of wonders. Built by the Valyrians, the Long Bridge across the Rhoyne is a structural masterpiece. It connects Old Volantis with the western part of the city. The massive Black Walls in the east are home to the proud descendants of the dragonlords. Outside the Walls is the magnificent Temple of the Lord of Light. Three times the size of the Great Sept of Baelor, it is the center of the Rhllor faith in Essos.;;;;;;;;;;;;;;x
wonder_city_of_wonders_volantis_construction_desc;The last bastion of the Freehold, the grand city of Volantis is the largest and most powerful of the Free Cities. Sprawling across the mouth of the Rhoyne, Old Volantis is a city of wonders. The massive Black Walls in the east are home to the proud descendants of the dragonlords. Outside the Walls is the magnificent Temple of the Lord of Light. Three times the size of the Great Sept of Baelor, it is the center of the Rhllor faith in Essos.;;;;;;;;;;;;;;x
### BRAAVOS ###;;;;;;;;;;;;;;;
wonder_city_of_wonders_braavos;[FromFromFrom.GetName];;;;;;;;;;;;;;x
wonder_city_of_wonders_braavos_desc;The bastard daughter of Valyria is the richest of all nine of the Free Cities, even more than Volantis. The tall Titan of Braavos welcomes ships that enter the lagoon, with a sword held up high. At the center of Braavos is the Isle of the Gods, a node of religious activity. The Temple of the Moonsingers is the largest on the isle. Its beautiful architecture features an exquisite white marble and silver dome. Close by is the infamous House of Black and White, home of the Faceless Men & a place of worship for the Many-Faced God.;;;;;;;;;;;;;;x
wonder_city_of_wonders_braavos_construction_desc;The bastard daughter of Valyria is the richest of all nine of the Free Cities, even more than Volantis. The tall Titan of Braavos welcomes ships that enter the lagoon, with a sword held up high. At the center of Braavos is the Isle of the Gods, a node of religious activity. The Temple of the Moonsingers is the largest on the isle. Its beautiful architecture features an exquisite white marble and silver dome. Close by is the infamous House of Black and White, home of the Faceless Men & a place of worship for the Many-Faced God.;;;;;;;;;;;;;;x
### QARTH ###;;;;;;;;;;;;;;;
